T	2->0	4->0	4->2	6->4	
1.000000000000000000e+00 3.037493989905990213e-12 8.598101587450979647e-14 5.827199844676891581e-12 1.307150077422674873e-12
2.000000000000000000e+00 4.103924410086864412e-12 1.053543025068556735e-13 7.106906516829753387e-12 1.673005522010533722e-12
3.000000000000000000e+00 4.587461456195125933e-12 1.065248342564471037e-13 7.101906893829816468e-12 1.663603200511438068e-12
4.000000000000000000e+00 4.900118521454375408e-12 1.041945418802565550e-13 6.875863385509494953e-12 1.603939053036082616e-12
5.000000000000000000e+00 5.108057922045566074e-12 1.004808792486788245e-13 6.577249783643314770e-12 1.542708333307187120e-12
6.000000000000000000e+00 5.239357808571960753e-12 9.608747930407334332e-14 6.249528402063345708e-12 1.486179089745538801e-12
7.000000000000000000e+00 5.313069883758023967e-12 9.143803447367647845e-14 5.916353906634915212e-12 1.433375370624290950e-12
8.000000000000000000e+00 5.343543826459527733e-12 8.680492055148776558e-14 5.592103816452212574e-12 1.382816126534078282e-12
9.000000000000000000e+00 5.341558354105468600e-12 8.235029619532329270e-14 5.284852836212266857e-12 1.333636852527466678e-12
1.000000000000000000e+01 5.315149839105314759e-12 7.816007059996098441e-14 4.998459704238480645e-12 1.285518130782871449e-12
1.100000000000000000e+01 5.270335774244160406e-12 7.427096440132515872e-14 4.734141180713535745e-12 1.238452835300973523e-12
1.200000000000000000e+01 5.211676229495660092e-12 7.068976294483458905e-14 4.491562390794195558e-12 1.192570003051100155e-12
1.300000000000000000e+01 5.142674921266477445e-12 6.740610584798195402e-14 4.269545253875709728e-12 1.148032612607320020e-12
1.400000000000000000e+01 5.066056369393253336e-12 6.440062818917903969e-14 4.066508839432969976e-12 1.104987297691078575e-12
1.500000000000000000e+01 4.983957634952679481e-12 6.164997405437094363e-14 3.880732952043846417e-12 1.063544427035644898e-12
1.600000000000000000e+01 4.898063795044289062e-12 5.912977916987423340e-14 3.710509253696516758e-12 1.023774064622216792e-12
1.700000000000000000e+01 4.809706535418965172e-12 5.681636479063902551e-14 3.554222583826313240e-12 9.857093232684507285e-13
1.800000000000000000e+01 4.719938054511661837e-12 5.468762956628577862e-14 3.410389910549077886e-12 9.493525270021024539e-13
1.900000000000000000e+01 4.629587851822748861e-12 5.272345284931760054e-14 3.277674227734526347e-12 9.146818812196440988e-13
2.000000000000000000e+01 4.539307178243666347e-12 5.090580870047186011e-14 3.154884173454786195e-12 8.816576055036773354e-13
2.100000000000000000e+01 4.449604270924313896e-12 4.921871570771265361e-14 3.040965983933463187e-12 8.502271402921076333e-13
2.200000000000000000e+01 4.360872509206395419e-12 4.764810008104596538e-14 2.934991775144434714e-12 8.203293618488241103e-13
2.300000000000000000e+01 4.273413023320174085e-12 4.618161909802067913e-14 2.836146505809556605e-12 7.918978850361441770e-13
2.400000000000000000e+01 4.187452899050910769e-12 4.480847275467022623e-14 2.743714960763393137e-12 7.648635867306421449e-13
2.500000000000000000e+01 4.103159858014148221e-12 4.351921943729210130e-14 2.657069472138353935e-12 7.391564913054005294e-13
2.600000000000000000e+01 4.020654104561594704e-12 4.230560398485212986e-14 2.575658721086136795e-12 7.147071482232183279e-13
2.700000000000000000e+01 3.940017889235863557e-12 4.116040198864359792e-14 2.498997741982169895e-12 6.914476131170557164e-13
2.800000000000000000e+01 3.861303229669950293e-12 4.007728149927629745e-14 2.426659125623632367e-12 6.693121239330657695e-13
2.900000000000000000e+01 3.784538143804849876e-12 3.905068179083907053e-14 2.358265350891858976e-12 6.482375455148726037e-13
3.000000000000000000e+01 3.709731681579792374e-12 3.807570802701234863e-14 2.293482142522200088e-12 6.281636404104862809e-13
3.100000000000000000e+01 3.636877985993703901e-12 3.714804030338912394e-14 2.232012741533080901e-12 6.090332108356648644e-13
3.200000000000000000e+01 3.565959569875805170e-12 3.626385542693691935e-14 2.173592975539363695e-12 5.907921464050289110e-13
3.300000000000000000e+01 3.496949958733417265e-12 3.541975982630018825e-14 2.117987023113406045e-12 5.733894040841798391e-13
3.400000000000000000e+01 3.429815821014632937e-12 3.461273209674458630e-14 2.064983776243502584e-12 5.567769404419028115e-13
3.500000000000000000e+01 3.364518683704329425e-12 3.384007382919431285e-14 2.014393715821029170e-12 5.409096113420094868e-13
3.600000000000000000e+01 3.301016312292229331e-12 3.309936752926775182e-14 1.966046225858991453e-12 5.257450504102419277e-13
3.700000000000000000e+01 3.239263818937961906e-12 3.238844058543018525e-14 1.919787282220011124e-12 5.112435346963214706e-13
3.800000000000000000e+01 3.179214550402243979e-12 3.170533438792219757e-14 1.875477460738298106e-12 4.973678437263179134e-13
3.900000000000000000e+01 3.120820797440760217e-12 3.104827782858942845e-14 1.832990217669721682e-12 4.840831164490582626e-13
4.000000000000000000e+01 3.064034359402561122e-12 3.041566452511479984e-14 1.792210402412718152e-12 4.713567092992746458e-13
4.100000000000000000e+01 3.008806991363098107e-12 2.980603321176832392e-14 1.753032968481153932e-12 4.591580576340846281e-13
4.200000000000000000e+01 2.955090755950007194e-12 2.921805082369551180e-14 1.715361853874474943e-12 4.474585420742105977e-13
4.300000000000000000e+01 2.902838297845330220e-12 2.865049787433147432e-14 1.679109006384037725e-12 4.362313607401568679e-13
4.400000000000000000e+01 2.852003055574251512e-12 2.810225578722520463e-14 1.644193533099219919e-12 4.254514079725558382e-13
4.500000000000000000e+01 2.802539422462076961e-12 2.757229589581976249e-14 1.610540956526811537e-12 4.150951598314841456e-13
4.600000000000000000e+01 2.754402866431516036e-12 2.705966986888746453e-14 1.578082562397027668e-12 4.051405664559967825e-13
4.700000000000000000e+01 2.707550016520475942e-12 2.656350135655996691e-14 1.546754826473950434e-12 3.955669512127132756e-13
4.800000000000000000e+01 2.661938722546299107e-12 2.608297868327039121e-14 1.516498909581230432e-12 3.863549164559802462e-13
4.900000000000000000e+01 2.617528093159640596e-12 2.561734844035009639e-14 1.487260211651402748e-12 3.774862556503932628e-13
5.000000000000000000e+01 2.574278516568855553e-12 2.516590985327445548e-14 1.458987976955431207e-12 3.689438715605392977e-13
