T	0->2	0->4	0->6	0->8	
1.000000000000000000e+00 1.751485564471038017e-18 9.821476005703386503e-36 3.750980416676882290e-61 1.204146559117965718e-97
2.000000000000000000e+00 6.059044687961639317e-15 2.891178682236788599e-24 3.601328159998069026e-37 1.629443850724190829e-56
3.000000000000000000e+00 9.072745946652138864e-14 1.857134074316135350e-20 3.399949702962013907e-29 8.190655460417050432e-43
4.000000000000000000e+00 3.528295266445425958e-13 1.476833992261541718e-18 3.241358380130199044e-25 5.745018485643602673e-36
5.000000000000000000e+00 7.999320051817100242e-13 2.043661290620637600e-17 7.829510026398338451e-23 7.326746281729076623e-32
6.000000000000000000e+00 1.382200164986080022e-12 1.184728183120630210e-16 3.012391288745611141e-21 3.994859798319098527e-29
7.000000000000000000e+00 2.042510299506670492e-12 4.187794129260634596e-16 4.054111967947356966e-20 3.601891961723767719e-27
8.000000000000000000e+00 2.736151066772181893e-12 1.088216220762480066e-15 2.827546471880386760e-19 1.055792786306786844e-25
9.000000000000000000e+00 3.433684505435606701e-12 2.305105336858412869e-15 1.271637845001475635e-18 1.464360211884558048e-24
1.000000000000000000e+01 4.118061117171532559e-12 4.233021712084434771e-15 4.205299375859687741e-18 1.203582997917075354e-23
1.100000000000000000e+01 4.780775417954668802e-12 7.005785739833769426e-15 1.111956922171693350e-17 6.764207016852088020e-23
1.200000000000000000e+01 5.418636149350300743e-12 1.072110053036516185e-14 2.486253637681980714e-17 2.859411836517817726e-22
1.300000000000000000e+01 6.031448836785045187e-12 1.543940201473746040e-14 4.886932159547602365e-17 9.711815496669923704e-22
1.400000000000000000e+01 6.620493676541904543e-12 2.118569953831637872e-14 8.682250793794351809e-17 2.778008758629066363e-21
1.500000000000000000e+01 7.187594691543204259e-12 2.795321018124460760e-14 1.422985936362958785e-16 6.927215435345413899e-21
1.600000000000000000e+01 7.734594735322531424e-12 3.570807838955640824e-14 2.184741000322621229e-16 1.545269937257021658e-20
1.700000000000000000e+01 8.263093820421505903e-12 4.439465053911109219e-14 3.179267153638923364e-16 3.145220912224388550e-20
1.800000000000000000e+01 8.774349273212588766e-12 5.394085818981092599e-14 4.425354645442236968e-16 5.931551005471350959e-20
1.900000000000000000e+01 9.269268865513903540e-12 6.426334925798970652e-14 5.934650797082384689e-16 1.049101081636814058e-19
2.000000000000000000e+01 9.748452121367715172e-12 7.527210851300925012e-14 7.712120676958029534e-16 1.757134277206708737e-19
2.100000000000000000e+01 1.021225191582103658e-11 8.687441376766761483e-14 9.756896592870544794e-16 2.808887459333087284e-19
2.200000000000000000e+01 1.066083996300715382e-11 9.897806611930836400e-14 1.206332325748515991e-15 4.313087493637502967e-19
2.300000000000000000e+01 1.109426731455805586e-11 1.114939029313014211e-13 1.462205366917069257e-15 6.395348019585958771e-19
2.400000000000000000e+01 1.151251573365274689e-11 1.243376493316301232e-13 1.742109777576847341e-15 9.197620670438902773e-19
2.500000000000000000e+01 1.191553866219662219e-11 1.374311906741483636e-13 2.044676525967300217e-15 1.287740982986041077e-18
2.600000000000000000e+01 1.230329210261289975e-11 1.507033593346155467e-13 2.368447343807465701e-15 1.760684804417923965e-18
2.700000000000000000e+01 1.267575654400456557e-11 1.640903292339473877e-13 2.711941190926722068e-15 2.357171477066439634e-18
2.800000000000000000e+01 1.303295138377620142e-11 1.775357047400913882e-13 3.073706880411963453e-15 3.097046389199052229e-18
2.900000000000000000e+01 1.337494333484778336e-11 1.909903802658594125e-13 3.452363113971833589e-15 4.001330792314631896e-18
3.000000000000000000e+01 1.370185019688491732e-11 2.044122351705388456e-13 3.846627546333142190e-15 5.092139063003889471e-18
3.100000000000000000e+01 1.401384118914078693e-11 2.177657169156764717e-13 4.255336604723637628e-15 6.392606567072181332e-18
3.200000000000000000e+01 1.431113484099453253e-11 2.310213546520444092e-13 4.677457734684926289e-15 7.926828715982952182e-18
3.300000000000000000e+01 1.459399524106805114e-11 2.441552359395935162e-13 5.112095597591102376e-15 9.719810873952780571e-18
3.400000000000000000e+01 1.486272727043852469e-11 2.571484712658797229e-13 5.558493556391053136e-15 1.179742806488266498e-17
3.500000000000000000e+01 1.511767129534343045e-11 2.699866644044426384e-13 6.016031585164538014e-15 1.418639291794286642e-17
3.600000000000000000e+01 1.535919767061766385e-11 2.826594013242891866e-13 6.484221543774531403e-15 1.691422995345799516e-17
