T	2->0	4->0	6->0	8->0	
1.000000000000000000e+00 2.312717534607685497e-12 5.992013644057276912e-14 1.679514816555365129e-14 4.479739628078049207e-17
2.000000000000000000e+00 3.110634143481335749e-12 7.548094548758011789e-14 2.130323702417137259e-14 8.225185147638007205e-17
3.000000000000000000e+00 3.401339205989495330e-12 7.861105275377010548e-14 2.199360520991739573e-14 9.583109849042791552e-17
4.000000000000000000e+00 3.575064174074650964e-12 7.958640150814223037e-14 2.190939881011366620e-14 1.015107967190633639e-16
5.000000000000000000e+00 3.697198171502222144e-12 8.031873081095741061e-14 2.162577249753925797e-14 1.042907077375776869e-16
6.000000000000000000e+00 3.785509937193701296e-12 8.127421826505018481e-14 2.126477071300843159e-14 1.059249816691848279e-16
7.000000000000000000e+00 3.849293094283155889e-12 8.257227016735926777e-14 2.085147714275817946e-14 1.071157345202096767e-16
8.000000000000000000e+00 3.895834198129753493e-12 8.422633124571538784e-14 2.039451386086712877e-14 1.081714209974991024e-16
9.000000000000000000e+00 3.931139363869693343e-12 8.620921646287532710e-14 1.990278058907223828e-14 1.092359778427801281e-16
1.000000000000000000e+01 3.959924056429766857e-12 8.847414635138862280e-14 1.938672356878559098e-14 1.103787774685280038e-16
1.100000000000000000e+01 3.985678723459643194e-12 9.096401301219725511e-14 1.885688606042999560e-14 1.116333892094863154e-16
1.200000000000000000e+01 4.010833153033422754e-12 9.361749153254891524e-14 1.832272876055122333e-14 1.130155334751047045e-16
1.300000000000000000e+01 4.036955397879532159e-12 9.637384186761025771e-14 1.779209057151076631e-14 1.145318775922946468e-16
1.400000000000000000e+01 4.064944905496307245e-12 9.917652872763470329e-14 1.727110052210276480e-14 1.161845328082730061e-16
1.500000000000000000e+01 4.095202726755054830e-12 1.019756043490101207e-13 1.676432539268288600e-14 1.179734250925266263e-16
1.600000000000000000e+01 4.127773764829719502e-12 1.047289539649157942e-13 1.627501017124809010e-14 1.198975688167370702e-16
1.700000000000000000e+01 4.162461370063050065e-12 1.074026319345985286e-13 1.580533334545914957e-14 1.219557549730660344e-16
1.800000000000000000e+01 4.198916818364964415e-12 1.099705561609345523e-13 1.535664051836666596e-14 1.241469189285761623e-16
1.900000000000000000e+01 4.236707073270032888e-12 1.124138052613444560e-13 1.492964290035264018e-14 1.264703297088076772e-16
2.000000000000000000e+01 4.275364441229718817e-12 1.147197118374800287e-13 1.452457881860693165e-14 1.289256790248254532e-16
2.100000000000000000e+01 4.314421589457010996e-12 1.168808896667954092e-13 1.414134154297480243e-14 1.315131140520775427e-16
2.200000000000000000e+01 4.353435062015953186e-12 1.188942843516772687e-13 1.377957853450576132e-14 1.342332390785938694e-16
2.300000000000000000e+01 4.392000002335276137e-12 1.207602997264327355e-13 1.343876741221382150e-14 1.370871004379927861e-16
2.400000000000000000e+01 4.429758337067144775e-12 1.224820259006876883e-13 1.311827342500221142e-14 1.400761629441790052e-16
2.500000000000000000e+01 4.466402241746827368e-12 1.240645773366921262e-13 1.281739247403675759e-14 1.432022823875906224e-16
2.600000000000000000e+01 4.501674318737774460e-12 1.255145385993304369e-13 1.253538297536920114e-14 1.464676764675309988e-16
2.700000000000000000e+01 4.535365584102818669e-12 1.268395093904750400e-13 1.227148917553252716e-14 1.498748952262688146e-16
2.800000000000000000e+01 4.567312084440954270e-12 1.280477376061360232e-13 1.202495796338515285e-14 1.534267912806421395e-16
2.900000000000000000e+01 4.597390743755906069e-12 1.291478282750056936e-13 1.179505075965901379e-14 1.571264897197870092e-16
3.000000000000000000e+01 4.625514867538774465e-12 1.301485165403316986e-13 1.158105169944893136e-14 1.609773573352641367e-16
3.100000000000000000e+01 4.651629598868606968e-12 1.310584937919622129e-13 1.138227303667285026e-14 1.649829707972504936e-16
3.200000000000000000e+01 4.675707521970699667e-12 1.318862772943557743e-13 1.119805847802785548e-14 1.691470834365775060e-16
3.300000000000000000e+01 4.697744535530926771e-12 1.326401149762347274e-13 1.102778498368963911e-14 1.734735904000975861e-16
3.400000000000000000e+01 4.717756065314060399e-12 1.333279183252712640e-13 1.087086344173351974e-14 1.779664920878632943e-16
3.500000000000000000e+01 4.735773648452104565e-12 1.339572175018577141e-13 1.072673852394708359e-14 1.826298559329584763e-16
3.600000000000000000e+01 4.751841896278006283e-12 1.345351338212391766e-13 1.059488795520603159e-14 1.874677767318649587e-16
3.700000000000000000e+01 4.766015825730112033e-12 1.350683656465312474e-13 1.047482137131307774e-14 1.924843358629089190e-16
3.800000000000000000e+01 4.778358538786971674e-12 1.355631844922168297e-13 1.036607889683176107e-14 1.976835598347064883e-16
3.900000000000000000e+01 4.788939223316542400e-12 1.360254387707276339e-13 1.026822954165387696e-14 2.030693786813387082e-16
4.000000000000000000e+01 4.797831445792973938e-12 1.364605631384055696e-13 1.018086949026848427e-14 2.086455847650040106e-16
4.100000000000000000e+01 4.805111705550144905e-12 1.368735918266578362e-13 1.010362033900006893e-14 2.144157925612896700e-16
4.200000000000000000e+01 4.810858220875081461e-12 1.372691746938549806e-13 1.003612732236552459e-14 2.203833999898917561e-16
4.300000000000000000e+01 4.815149918769844549e-12 1.376515950164904958e-13 9.978057559033159370e-15 2.265515518186554816e-16
4.400000000000000000e+01 4.818065602254151757e-12 1.380247882657380553e-13 9.929098339794528420e-15 2.329231056158653153e-16
4.500000000000000000e+01 4.819683271381717110e-12 1.383923612976185664e-13 9.888955473833306757e-15 2.395006006596054416e-16
4.600000000000000000e+01 4.820079576524216748e-12 1.387576115298207324e-13 9.857351704908215655e-15 2.462862301383867555e-16
4.700000000000000000e+01 4.819329384819754954e-12 1.391235457927422560e-13 9.834025205492340171e-15 2.532818168983178054e-16
4.800000000000000000e+01 4.817505442914438259e-12 1.394928986322973501e-13 9.818728154157580606e-15 2.604887929125484074e-16
4.900000000000000000e+01 4.814678121202203748e-12 1.398681499122082440e-13 9.811225399356638098e-15 2.679081825715648506e-16
5.000000000000000000e+01 4.810915226667571813e-12 1.402515416177613947e-13 9.811293211086337531e-15 2.755405898205130705e-16
5.100000000000000000e+01 4.806281873150680893e-12 1.406450938045363465e-13 9.818718120604415633e-15 2.833861891038259100e-16
5.200000000000000000e+01 4.800840399385978538e-12 1.410506196669911705e-13 9.833295847335255294e-15 2.914447200191626115e-16
5.300000000000000000e+01 4.794650326523227004e-12 1.414697397251229684e-13 9.854830311279325688e-15 2.997154855327206204e-16
5.400000000000000000e+01 4.787768348033693700e-12 1.419038951443994291e-13 9.883132728591186351e-15 3.081973535665519663e-16
5.500000000000000000e+01 4.780248345949194566e-12 1.423543602161570937e-13 9.918020787479733021e-15 3.168887617355234104e-16
5.600000000000000000e+01 4.772141428291121754e-12 1.428222540337934400e-13 9.959317901187204768e-15 3.257877249866304643e-16
5.700000000000000000e+01 4.763495983335037124e-12 1.433085514052109746e-13 1.000685253450152592e-14 3.348918458759320368e-16
5.800000000000000000e+01 4.754357747037220661e-12 1.438140930448334609e-13 1.006045760003551908e-14 3.441983272077565749e-16
5.900000000000000000e+01 4.744769880535757732e-12 1.443395950896534207e-13 1.011996992035455458e-14 3.537039867562442686e-16
6.000000000000000000e+01 4.734773055141645002e-12 1.448856579836447433e-13 1.018522975194193188e-14 3.634052737899621014e-16
6.100000000000000000e+01 4.724405542665838153e-12 1.454527747738325058e-13 1.025608036695068256e-14 3.732982871254415297e-16
6.200000000000000000e+01 4.713703309295640331e-12 1.460413388596347800e-13 1.033236768869403281e-14 3.833787944442852093e-16
6.300000000000000000e+01 4.702700111546520671e-12 1.466516512349886865e-13 1.041393997686892012e-14 3.936422526202251743e-16
6.400000000000000000e+01 4.691427593081289864e-12 1.472839272604177882e-13 1.050064755858162296e-14 4.040838288165510686e-16
6.500000000000000000e+01 4.679915381413524554e-12 1.479383029997077126e-13 1.059234260134641674e-14 4.146984221300154611e-16
6.600000000000000000e+01 4.668191183702493782e-12 1.486148411533330933e-13 1.068887892435324021e-14 4.254806855741773287e-16
6.700000000000000000e+01 4.656280881007093173e-12 1.493135366182896304e-13 1.079011184444352823e-14 4.364250482126602728e-16
6.800000000000000000e+01 4.644208620501236140e-12 1.500343217015725158e-13 1.089589805339117554e-14 4.475257372706007032e-16
6.900000000000000000e+01 4.631996905266028357e-12 1.507770710122540196e-13 1.100609552325462190e-14 4.587768000703086249e-16
7.000000000000000000e+01 4.619666681368528102e-12 1.515416060549548322e-13 1.112056343674241661e-14 4.701721256545710602e-16
