T	0->2	0->4	0->6	0->8	
1.000000000000000000e+00 1.735098561736891999e-18 9.681031260548851021e-36 3.738955420542740228e-61 9.919372967301945185e-98
2.000000000000000000e+00 6.024688398701745554e-15 2.878280077362105485e-24 3.624102833341650505e-37 1.595827245967992552e-56
3.000000000000000000e+00 9.037126150487209415e-14 1.852514478000854008e-20 3.420693507485536308e-29 8.258152590398949659e-43
4.000000000000000000e+00 3.518127896717741447e-13 1.474375143189696347e-18 3.258214046097480703e-25 5.829842129937913768e-36
5.000000000000000000e+00 7.981581364205574109e-13 2.041176913376915514e-17 7.863929785393713251e-23 7.441338232641630537e-32
6.000000000000000000e+00 1.379747339364232386e-12 1.183622094465658666e-16 3.023717857790836596e-21 4.054255141077714017e-29
7.000000000000000000e+00 2.039514711149706364e-12 4.184690869371931929e-16 4.067354951207315595e-20 3.651018076297513568e-27
8.000000000000000000e+00 2.732746481466741345e-12 1.087561213127211122e-15 2.835695673232677600e-19 1.068831571117588199e-25
9.000000000000000000e+00 3.429982371336620277e-12 2.303958814880182567e-15 1.274917018862973523e-18 1.480666074553424252e-24
1.000000000000000000e+01 4.114148474977189244e-12 4.231258354504198900e-15 4.215121534423025962e-18 1.215661754635155651e-23
1.100000000000000000e+01 4.776718592337171134e-12 7.003314386234502432e-15 1.114334173309567597e-17 6.825466691169823337e-23
1.200000000000000000e+01 5.414485382683427911e-12 1.071786751810995988e-14 2.491162832267818631e-17 2.882829361568173525e-22
1.300000000000000000e+01 6.027242304342492419e-12 1.543538848201699311e-14 4.895912716434852387e-17 9.783909282016294959e-22
1.400000000000000000e+01 6.616260580758966579e-12 2.118091565581236683e-14 8.697197201248817705e-17 2.796746668005701421e-21
1.500000000000000000e+01 7.183357538202795338e-12 2.794768837095064824e-14 1.425293564794097376e-16 6.969772588410543418e-21
1.600000000000000000e+01 7.730370981073822917e-12 3.570186675125986949e-14 2.188094532384751510e-16 1.553936264879009835e-20
1.700000000000000000e+01 8.258897064701386305e-12 4.438780710044601040e-14 3.183905368983648616e-16 3.161358277637769815e-20
1.800000000000000000e+01 8.770190127825631085e-12 5.393344621174061831e-14 4.431512512201502272e-16 5.959449081198638630e-20
1.900000000000000000e+01 9.265155597594541773e-12 6.425543360652342281e-14 5.942551443551406271e-16 1.053632791663574087e-19
2.000000000000000000e+01 9.744391136390654361e-12 7.526375299465130747e-14 7.721969269321434728e-16 1.764117341626670492e-19
2.100000000000000000e+01 1.020824812652949449e-11 8.686567927897856555e-14 9.768876093164699923e-16 2.819174161861874668e-19
2.200000000000000000e+01 1.065689707578375675e-11 9.896900945179578837e-14 1.207759186737741136e-15 4.327665100072175060e-19
2.300000000000000000e+01 1.109038805503278177e-11 1.114845760836189072e-13 1.463874368503508048e-15 6.415324943052893332e-19
2.400000000000000000e+01 1.150870202678090570e-11 1.243280992007614972e-13 1.744031556007610632e-15 9.224208054243883272e-19
2.500000000000000000e+01 1.191179177760794567e-11 1.374214590195607770e-13 2.046859204908051200e-15 1.291190004944920834e-18
2.600000000000000000e+01 1.229961277301966895e-11 1.506934829308564778e-13 2.370896674248085924e-15 1.765059155785139355e-18
2.700000000000000000e+01 1.267214506238620961e-11 1.640803401462156924e-13 2.714660729706231833e-15 2.362609656480170202e-18
2.800000000000000000e+01 1.302940768361727741e-11 1.775256306733307929e-13 3.076698190993019301e-15 3.103688052088326472e-18
2.900000000000000000e+01 1.337146705668538527e-11 1.909802449508938859e-13 3.455625976839308916e-15 4.009314587408626895e-18
3.000000000000000000e+01 1.369844074368760539e-11 2.044020587609448348e-13 3.850160169601843165e-15 5.101600647731988945e-18
3.100000000000000000e+01 1.401049777250237909e-11 2.177555163768932771e-13 4.259135828175170650e-15 6.403676823377936514e-18
3.200000000000000000e+01 1.430785651972358572e-11 2.310111441300028516e-13 4.681519222540377979e-15 7.939632165998401272e-18
3.300000000000000000e+01 1.459078095344725410e-11 2.441450271003890682e-13 5.116414016929911043e-15 9.734464276094727779e-18
3.400000000000000000e+01 1.485957586119209297e-11 2.571382736009943542e-13 5.563062739323288705e-15 1.181403915538336685e-17
3.500000000000000000e+01 1.511458153816307784e-11 2.699764854980768773e-13 6.020844673733128217e-15 1.420505925060962026e-17
3.600000000000000000e+01 1.535616828695056407e-11 2.826492470807440942e-13 6.489271117176938611e-15 1.693503778149218638e-17
3.700000000000000000e+01 1.558473097983926602e-11 2.951496409934371238e-13 6.967978765651069290e-15 2.003227725990819469e-17
3.800000000000000000e+01 1.580068385627416361e-11 3.074737965056869515e-13 7.456721837594350397e-15 2.352585004725930896e-17
3.900000000000000000e+01 1.600445566742759828e-11 3.196204729457654363e-13 7.955363410529578237e-15 2.744557884118328470e-17
4.000000000000000000e+01 1.619648523404219790e-11 3.315906793176563524e-13 8.463866336004786218e-15 3.182201511206863033e-17
4.100000000000000000e+01 1.637721744989498088e-11 3.433873298223762188e-13 8.982284007694895342e-15 3.668641370625242713e-17
4.200000000000000000e+01 1.654709973883481131e-11 3.550149341039126476e-13 9.510751185118611508e-15 4.207070207959425154e-17
4.300000000000000000e+01 1.670657895628598204e-11 3.664793204450787465e-13 1.004947501828819261e-14 4.800744290672489996e-17
4.400000000000000000e+01 1.685609871466492725e-11 3.777873897749649455e-13 1.059872637423908057e-14 5.452978911328622694e-17
4.500000000000000000e+01 1.699609710493830238e-11 3.889468981579051280e-13 1.115883153249087135e-14 6.167143068788862052e-17
4.600000000000000000e+01 1.712700478246465915e-11 3.999662653671290959e-13 1.173016429104632114e-14 6.946653293582932406e-17
4.700000000000000000e+01 1.724924338344931921e-11 4.108544071680680722e-13 1.231313850579893369e-14 7.794966612804431085e-17
4.800000000000000000e+01 1.736322423814325170e-11 4.216205890186466155e-13 1.290820107272640820e-14 8.715572676829675160e-17
4.900000000000000000e+01 1.746934734782700154e-11 4.322742990155792830e-13 1.351582535278416724e-14 9.711985094306344463e-17
5.000000000000000000e+01 1.756800059426035509e-11 4.428251380608888504e-13 1.413650503299455695e-14 1.078773204275798833e-16
5.100000000000000000e+01 1.765955915236596864e-11 4.532827253798923606e-13 1.477074841306302299e-14 1.194634623953559151e-16
5.200000000000000000e+01 1.774438507924412202e-11 4.636566176824309598e-13 1.541907310431986714e-14 1.319135437160232537e-16
5.300000000000000000e+01 1.782282705503901447e-11 4.739562404172938402e-13 1.608200112640196164e-14 1.452626609278278818e-16
5.400000000000000000e+01 1.789522025359007321e-11 4.841908297216460440e-13 1.676005438648426216e-14 1.595456270377479682e-16
5.500000000000000000e+01 1.796188632313519665e-11 4.943693838103349199e-13 1.745375052577042678e-14 1.747968563363349338e-16
5.600000000000000000e+01 1.802313345954193927e-11 5.045006226827589091e-13 1.816359911815541336e-14 1.910502484188473079e-16
5.700000000000000000e+01 1.807925655659830290e-11 5.145929551468693517e-13 1.889009820633626663e-14 2.083390725824297213e-16
5.800000000000000000e+01 1.813053741978652509e-11 5.246544522707265333e-13 1.963373116107520581e-14 2.266958537246477586e-16
5.900000000000000000e+01 1.817724503168347463e-11 5.346928264720873845e-13 2.039496384974720132e-14 2.461522608053614630e-16
6.000000000000000000e+01 1.821963585868450880e-11 5.447154155462932442e-13 2.117424210069669939e-14 2.667389988554386599e-16
6.100000000000000000e+01 1.825795419013926895e-11 5.547291710129025374e-13 2.197198945026542961e-14 2.884857054257571192e-16
6.200000000000000000e+01 1.829243250222759827e-11 5.647406502328292760e-13 2.278860515963057193e-14 3.114208522716769651e-16
6.300000000000000000e+01 1.832329184000204548e-11 5.747560118109864054e-13 2.362446248881224453e-14 3.355716529647484251e-16
6.400000000000000000e+01 1.835074221199284123e-11 5.847810138553866651e-13 2.447990721538076614e-14 3.609639770176080815e-16
6.500000000000000000e+01 1.837498299262185372e-11 5.948210147130579766e-13 2.535525638552742925e-14 3.876222710021779275e-16
6.600000000000000000e+01 1.839620332841751347e-11 6.048809758467099317e-13 2.625079728527120032e-14 4.155694870374883463e-16
6.700000000000000000e+01 1.841458254467202783e-11 6.149654665545286245e-13 2.716678661966978010e-14 4.448270189233537780e-16
6.800000000000000000e+01 1.843029054974708885e-11 6.250786702693254413e-13 2.810344988799747695e-14 4.754146461011280631e-16
6.900000000000000000e+01 1.844348823472407637e-11 6.352243922031499446e-13 2.906098094295583161e-14 5.073504855338811044e-16
