   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      5      1    1          294.228      
  0.1000000000          0      1      5      1    1          282.308      
  0.1500000000          0      1      6      1    1          274.243      
  0.2000000000          0      1      6      1    1          268.536      
  0.2500000000          0      1      6      1    1          264.303      
  0.3000000000          0      1      6      1    1          261.052      
  0.3500000000          0      1      6      1    1          258.498      
  0.4000000000          0      1      7      1    1          256.465      
  0.4500000000          0      1      7      1    1          254.835      
  0.5000000000          0      1      7      1    1          247.444      
  0.5500000000          0      1      7      1    1          252.401      
  0.6000000000          0      1      7      1    1          251.582      
  0.6500000000          0      1      7      1    1          250.938      
  0.7000000000          0      1      7      1    1          250.446      
  0.7500000000          0      1      7      1    1          250.087      
  0.8000000000          0      1      7      1    1          249.861      
  0.8500000000          0      1      8      1    1          249.773      
  0.9000000000          0      1      8      1    1          249.859      
  0.9500000000          0      1      8      1    1          250.198      
   1.000000000          0      1      8      1    1          250.953      
   1.050000000          0      1      8      1    1          252.455      
   1.100000000          0      1      8      1    1          255.406      
   1.150000000          0      1      8      1    1          261.387      
   1.200000000          0      1      8      1    1          274.299      
   1.250000000          0      1      8      1    1          304.766      
   1.300000000          0      1      8      1    1          382.867      
   1.350000000          0      1      8      1    1          554.024      
   1.400000000          0      1      8      1    1          640.413      
   1.450000000          0      1      8      1    1          520.551      
   1.500000000          0      1      8      1    1          412.310      
   1.550000000          0      1      8      1    1          365.163      
   1.600000000          0      1      8      1    1          338.397      
   1.650000000          0      1      8      1    1          322.067      
   1.700000000          0      1      8      1    1          311.351      
   1.750000000          0      1      8      1    1          303.899      
   1.800000000          0      1      8      1    1          298.468      
   1.850000000          0      1      8      1    1          294.356      
   1.900000000          0      1      8      1    1          291.140      
   1.950000000          0      1      8      1    1          288.554      
   2.000000000          0      1      8      1    1          286.425      
   2.050000000          0      1      9      1    1          284.635      
   2.100000000          0      1      9      1    1          283.095      
   2.150000000          0      1      9      1    1          281.757      
   2.200000000          0      1      9      1    1          280.589      
   2.250000000          0      1      9      1    1          279.550      
   2.300000000          0      1      9      1    1          278.626      
   2.350000000          0      1      9      1    1          277.804      
   2.400000000          0      1      9      1    1          277.086      
   2.450000000          0      1      9      1    1          276.447      
   2.500000000          0      1      9      1    1          275.930      
   2.550000000          0      1      9      1    1          275.532      
   2.600000000          0      1      9      1    1          275.266      
   2.650000000          0      1      9      1    1          275.163      
   2.700000000          0      1      9      1    1          275.250      
   2.750000000          0      1      9      1    1          275.575      
   2.800000000          0      1      9      1    1          276.200      
   2.850000000          0      1      9      1    1          277.188      
   2.900000000          0      1      9      1    1          278.621      
   2.950000000          0      1      9      1    1          280.616      
   3.000000000          0      1      9      1    1          283.307      
   3.050000000          0      1      9      1    1          286.846      
   3.100000000          0      1      9      1    1          291.416      
   3.150000000          0      1      9      1    1          297.228      
   3.200000000          0      1      9      1    1          304.499      
   3.250000000          0      1      9      1    1          313.420      
   3.300000000          0      1      9      1    1          324.138      
   3.350000000          0      1      9      1    1          336.638      
   3.400000000          0      1      9      1    1          350.706      
   3.450000000          0      1      9      1    1          365.822      
   3.500000000          0      1      9      1    1          381.158      
   3.550000000          0      1      9      1    1          395.589      
   3.600000000          0      1      9      1    1          407.955      
   3.650000000          0      1     10      1    1          417.288      
   3.700000000          0      1     10      1    1          423.045      
   3.750000000          0      1     10      1    1          425.171      
   3.800000000          0      1     10      1    1          424.075      
   3.850000000          0      1     10      1    1          420.412      
   3.900000000          0      1     10      1    1          414.906      
   3.950000000          0      1     10      1    1          408.230      
   4.000000000          0      1     10      1    1          400.930      
   4.050000000          0      1     10      1    1          393.406      
   4.100000000          0      1     10      1    1          385.936      
   4.150000000          0      1     10      1    1          378.704      
   4.200000000          0      1     10      1    1          371.807      
   4.250000000          0      1     10      1    1          365.300      
   4.300000000          0      1     10      1    1          359.207      
   4.350000000          0      1     10      1    1          353.521      
   4.400000000          0      1     10      1    1          348.237      
   4.450000000          0      1     10      1    1          343.328      
   4.500000000          0      1     10      1    1          338.772      
   4.550000000          0      1     10      1    1          334.548      
   4.600000000          0      1     10      1    1          330.632      
   4.650000000          0      1     10      1    1          327.002      
   4.700000000          0      1     10      1    1          323.641      
   4.750000000          0      1     10      1    1          320.533      
   4.800000000          0      1     10      1    1          317.665      
   4.850000000          0      1     10      1    1          315.023      
   4.900000000          0      1     10      1    1          312.603      
   4.950000000          0      1     10      1    1          310.392      
   5.000000000          0      1     10      1    1          308.391      
   5.050000000          0      1     10      1    1          306.594      
   5.100000000          0      1     10      1    1          305.001      
   5.150000000          0      1     10      1    1          303.613      
   5.200000000          0      1     10      1    1          302.433      
   5.250000000          0      1     10      1    1          301.464      
   5.300000000          0      1     10      1    1          300.710      
   5.350000000          0      1     10      1    1          300.179      
