R	E
1.00	72977.328434
1.10	53774.705403
1.20	38331.430685
1.30	26653.871581
1.40	18309.263131
1.50	12501.397846
1.60	8506.22118
1.70	5771.288824
1.80	3902.194215
1.90	2625.318817
2.00	1752.929061
2.05	1426.571402
2.10	1156.788675
2.15	933.7947
2.20	749.513033
2.25	597.277734
2.30	471.583583
2.35	367.882367
2.40	282.414589
2.45	212.071363
2.50	154.279017
2.55	106.906684
2.60	68.187668
2.65	36.656097
2.70	11.094713
2.75	-9.507636
2.80	-25.991995
2.85	-39.056723
2.90	-49.282629
2.95	-57.153154
3.00	-63.070179
3.05	-67.370004
3.10	-70.33422
3.15	-72.199791
3.20	-73.167013
3.25	-73.405824
3.30	-73.060728
3.35	-72.254569
3.40	-71.091449
3.45	-69.659003
3.50	-68.030247
3.55	-66.265172
3.60	-64.412744
3.65	-62.509974
3.70	-60.586897
3.75	-58.665084
3.80	-56.760106
3.85	-54.882403
3.90	-53.038507
3.95	-51.232223
4.00	-49.464911
4.05	-47.737163
4.10	-46.04876
4.15	-44.399283
4.20	-42.788414
4.25	-41.216123
4.30	-39.682751
4.35	-38.189007
4.40	-36.735921
4.45	-35.324738
4.50	-33.956814
4.55	-32.63349
4.60	-31.355986
4.65	-30.125303
4.70	-28.942148
4.75	-27.806882
4.80	-26.719171
4.85	-25.679258
4.90	-24.686091
4.95	-23.738587
5.00	-22.835375
5.05	-21.974837
5.10	-21.155174
5.15	-20.374874
5.20	-19.631072
5.25	-18.922138
5.30	-18.246027
5.35	-17.600746
5.40	-16.984372
5.45	-16.395083
5.50	-15.831166
5.55	-15.291031
5.60	-14.773215
5.65	-14.276382
5.70	-13.799315
5.75	-13.340917
5.80	-12.899747
5.85	-12.475793
5.90	-12.067811
5.95	-11.675067
6.00	-11.296898
6.20	-9.918466
6.40	-8.731565
6.60	-7.709817
6.80	-6.830343
7.00	-6.072859
7.20	-5.419555
7.40	-4.855038
7.60	-4.366158
7.80	-3.941732
8.00	-3.572176
8.20	-3.249542
8.40	-2.966687
8.60	-2.717723
8.80	-2.497682
9.00	-2.302631
9.50	-1.901179
10.00	-1.59366
10.50	-1.3537
11.00	-1.163304
11.50	-1.01037
12.00	-0.886028
12.50	-0.783748
13.00	-0.700217
13.50	-0.629274
14.00	-0.569396
14.50	-0.51845
15.00	-0.47478
16.00	-0.40434
17.00	-0.35055
18.00	-0.308538
19.00	-0.275057
20.00	-0.247892
21.00	-0.225492
22.00	-0.206753
23.00	-0.19087
24.00	-0.17725
25.00	-0.165446
50.00	-0.06006
100.00	-0.019574
