R	E
1.00	93873.162217
1.10	64685.057416
1.20	44183.419933
1.30	29976.277427
1.40	20197.252011
1.50	13492.121111
1.60	8914.607064
1.70	5803.656453
1.80	3697.966416
1.90	2280.130501
2.00	1334.952123
2.05	992.02965
2.10	716.503031
2.15	496.967905
2.20	323.807757
2.25	188.88646
2.30	85.315814
2.35	7.274253
2.40	-50.140979
2.45	-91.039551
2.50	-118.848048
2.55	-136.407276
2.60	-146.058181
2.65	-149.717077
2.70	-148.940872
2.75	-144.983189
2.80	-138.842474
2.85	-131.303263
2.90	-122.971665
2.95	-114.306021
3.00	-105.643472
3.05	-97.222975
3.10	-89.205194
3.15	-81.689548
3.20	-74.728676
3.25	-68.340512
3.30	-62.518197
3.35	-57.238045
3.40	-52.465779
3.45	-48.16129
3.50	-44.282144
3.55	-40.786049
3.60	-37.63251
3.65	-34.783842
3.70	-32.205711
3.75	-29.867322
3.80	-27.741381
3.85	-25.803901
3.90	-24.033927
3.95	-22.413211
4.00	-20.925894
4.05	-19.558182
4.10	-18.298057
4.15	-17.135044
4.20	-16.059939
4.25	-15.064653
4.30	-14.142031
4.35	-13.285723
4.40	-12.490062
4.45	-11.749978
4.50	-11.060909
4.55	-10.418742
4.60	-9.819756
4.65	-9.260571
4.70	-8.738119
4.75	-8.249601
4.80	-7.792465
4.85	-7.364374
4.90	-6.963193
4.95	-6.586962
5.00	-6.233884
5.05	-5.902307
5.10	-5.590716
5.15	-5.297713
5.20	-5.022012
5.25	-4.762429
5.30	-4.51787
5.35	-4.287326
5.40	-4.069866
5.45	-3.864625
5.50	-3.670809
5.55	-3.487678
5.60	-3.314549
5.65	-3.150788
5.70	-2.995806
5.75	-2.849056
5.80	-2.710033
5.85	-2.578263
5.90	-2.453307
5.95	-2.334758
6.00	-2.222234
6.20	-1.825648
6.40	-1.50098
6.60	-1.233499
6.80	-1.011846
7.00	-0.827188
7.20	-0.6726
7.40	-0.542608
7.60	-0.432857
7.80	-0.339853
8.00	-0.260781
8.20	-0.193355
8.40	-0.135706
8.60	-0.086304
8.80	-0.043883
9.00	-0.007397
9.50	0.063244
10.00	0.112097
10.50	0.14586
11.00	0.169015
11.50	0.18462
12.00	0.194794
12.50	0.201033
13.00	0.204404
13.50	0.205677
14.00	0.205413
14.50	0.204027
15.00	0.201826
16.00	0.195837
17.00	0.188676
18.00	0.181044
19.00	0.173343
20.00	0.165797
21.00	0.15853
22.00	0.151604
23.00	0.145046
24.00	0.13886
25.00	0.133037
50.00	0.057609
100.00	0.019
