R	E
1.20	8144.661912
1.25	5973.192798
1.30	4297.521278
1.35	3010.457778
1.40	2027.487921
1.45	1282.014612
1.50	721.592803
1.55	304.953568
1.60	-0.348979
1.65	-219.796416
1.70	-373.374494
1.75	-476.73163
1.80	-542.092653
1.85	-578.980383
1.90	-594.786774
1.95	-595.22594
2.00	-584.693732
2.05	-566.552816
2.10	-543.35814
2.15	-517.034815
2.20	-489.018171
2.25	-460.363927
2.30	-431.834779
2.35	-403.968426
2.40	-377.130934
2.45	-351.55851
2.50	-327.390102
2.55	-304.692737
2.60	-283.481113
2.65	-263.732678
2.70	-245.399177
2.75	-228.415426
2.80	-212.705941
2.85	-198.1899
2.90	-184.784789
2.95	-172.409031
3.00	-160.983805
3.05	-150.43423
3.10	-140.690066
3.15	-131.686024
3.20	-123.361802
3.25	-115.661934
3.30	-108.535505
3.35	-101.935814
3.40	-95.820014
3.45	-90.148777
3.50	-84.885981
3.55	-79.998448
3.60	-75.455717
3.65	-71.229848
3.70	-67.295243
3.75	-63.628484
3.80	-60.208177
3.85	-57.014795
3.90	-54.030533
3.95	-51.239162
4.00	-48.625893
4.05	-46.17725
4.10	-43.880945
4.15	-41.725777
4.20	-39.70152
4.25	-37.798836
4.30	-36.009184
4.35	-34.32474
4.40	-32.738326
4.45	-31.243338
4.50	-29.83369
4.55	-28.503752
4.60	-27.248312
4.65	-26.062522
4.70	-24.941873
4.75	-23.88216
4.80	-22.879457
4.85	-21.930098
4.90	-21.030588
4.95	-20.177872
5.00	-19.368901
5.05	-18.600903
5.10	-17.871293
5.15	-17.177682
5.20	-16.51785
5.25	-15.889746
5.30	-15.291471
5.35	-14.721269
5.40	-14.177519
5.45	-13.658719
5.50	-13.163478
5.55	-12.690506
5.60	-12.238604
5.65	-11.806651
5.70	-11.393604
5.75	-10.998481
5.80	-10.620364
5.85	-10.258386
5.90	-9.911731
5.95	-9.579628
6.00	-9.261346
6.20	-8.11309
6.40	-7.137042
6.60	-6.302178
6.80	-5.583978
7.00	-4.963078
7.20	-4.424097
7.40	-3.954646
7.60	-3.544581
7.80	-3.185468
8.00	-2.870208
8.20	-2.592787
8.40	-2.348076
8.60	-2.131688
8.80	-1.939857
9.00	-1.769351
9.50	-1.41907
10.00	-1.151897
10.50	-0.944674
11.00	-0.781531
11.50	-0.65146
12.00	-0.546672
12.50	-0.461525
13.00	-0.391834
13.50	-0.334425
14.00	-0.286852
14.50	-0.247204
15.00	-0.213975
16.00	-0.162252
17.00	-0.12477
18.00	-0.097092
19.00	-0.076314
20.00	-0.06049
21.00	-0.048285
22.00	-0.038765
23.00	-0.031264
24.00	-0.025301
25.00	-0.020521
50.00	0.00163
100.00	0.000948
