R	E
1.20	9973.031767
1.25	7564.655669
1.30	5695.64875
1.35	4245.93592
1.40	3121.742417
1.45	2250.253643
1.50	1575.195549
1.55	1053.183581
1.60	650.751891
1.65	341.992194
1.70	106.723046
1.75	-70.901429
1.80	-203.439414
1.85	-300.960101
1.90	-371.684318
1.95	-422.559051
2.00	-459.853395
2.05	-489.753724
2.10	-518.345478
2.15	-549.039168
2.20	-577.541986
2.25	-594.597893
2.30	-597.377626
2.35	-589.971511
2.40	-576.822003
2.45	-560.515465
2.50	-542.338452
2.55	-522.958039
2.60	-502.775944
2.65	-482.08184
2.70	-461.115277
2.75	-440.088135
2.80	-419.190438
2.85	-398.589916
2.90	-378.430151
2.95	-358.829586
3.00	-339.881518
3.05	-321.655657
3.10	-304.200372
3.15	-287.545432
3.20	-271.704864
3.25	-256.679712
3.30	-242.460583
3.35	-229.029888
3.40	-216.36381
3.45	-204.433973
3.50	-193.208859
3.55	-182.654975
3.60	-172.737809
3.65	-163.422587
3.70	-154.674859
3.75	-146.460939
3.80	-138.748214
3.85	-131.505351
3.90	-124.702423
3.95	-118.310971
4.00	-112.304017
4.05	-106.656045
4.10	-101.342939
4.15	-96.342038
4.20	-91.63191
4.25	-87.192419
4.30	-83.004633
4.35	-79.050783
4.40	-75.314212
4.45	-71.779338
4.50	-68.431616
4.55	-65.257507
4.60	-62.244445
4.65	-59.380803
4.70	-56.655863
4.75	-54.059783
4.80	-51.583555
4.85	-49.218976
4.90	-46.958598
4.95	-44.79569
5.00	-42.72419
5.05	-40.738657
5.10	-38.834226
5.15	-37.006553
5.20	-35.251773
5.25	-33.566444
5.30	-31.947504
5.35	-30.392227
5.40	-28.898175
5.45	-27.463159
5.50	-26.085205
5.55	-24.762514
5.60	-23.493433
5.65	-22.276429
5.70	-21.11006
5.75	-19.992958
5.80	-18.923808
5.85	-17.901333
5.90	-16.924283
5.95	-15.991422
6.00	-15.101523
6.20	-11.947007
6.40	-9.381222
6.60	-7.324462
6.80	-5.698354
7.00	-4.428754
7.20	-3.44825
7.40	-2.697761
7.60	-2.127159
7.80	-1.695107
8.00	-1.368358
8.20	-1.120753
8.40	-0.932103
8.60	-0.78709
8.80	-0.674261
9.00	-0.585166
9.50	-0.429828
10.00	-0.330423
10.50	-0.261052
11.00	-0.209824
11.50	-0.17071
12.00	-0.140227
12.50	-0.11613
13.00	-0.096864
13.50	-0.081311
14.00	-0.068644
14.50	-0.058246
15.00	-0.049649
16.00	-0.036499
17.00	-0.027177
18.00	-0.020434
19.00	-0.015469
20.00	-0.011759
21.00	-0.008948
22.00	-0.006796
23.00	-0.00513
24.00	-0.00383
25.00	-0.002807
50.00	0.001124
100.00	0.000445
