R	E
1.00	164346.201914
1.10	121238.450062
1.20	88347.072222
1.30	63533.46549
1.40	45154.162852
1.50	31770.73856
1.60	22160.20609
1.70	15335.877713
1.80	10534.268945
1.90	7181.973963
2.00	4857.629713
2.05	3982.041453
2.10	3256.620639
2.15	2656.653632
2.20	2161.343564
2.25	1753.21256
2.30	1417.588211
2.35	1142.166036
2.40	916.638925
2.45	732.384508
2.50	582.201385
2.55	460.086325
2.60	361.045682
2.65	280.935067
2.70	216.322989
2.75	164.374778
2.80	122.75444
2.85	89.540379
2.90	63.155351
2.95	42.307368
3.00	25.93987
3.05	13.190443
3.10	3.356294
3.15	-4.13439
3.20	-9.746219
3.25	-13.85633
3.30	-16.770608
3.35	-18.737076
3.40	-19.956994
3.45	-20.593073
3.50	-20.777573
3.55	-20.617797
3.60	-20.200323
3.65	-19.595102
3.70	-18.858326
3.75	-18.034837
3.80	-17.160049
3.85	-16.261621
3.90	-15.360715
3.95	-14.473205
4.00	-13.610574
4.05	-12.780781
4.10	-11.98895
4.15	-11.237991
4.20	-10.52909
4.25	-9.862182
4.30	-9.236286
4.35	-8.649827
4.40	-8.100833
4.45	-7.587149
4.50	-7.106542
4.55	-6.656836
4.60	-6.235929
4.65	-5.841871
4.70	-5.472833
4.75	-5.127178
4.80	-4.803377
4.85	-4.500059
4.90	-4.215973
4.95	-3.949928
5.00	-3.700866
5.05	-3.467778
5.10	-3.249707
5.15	-3.045777
5.20	-2.855119
5.25	-2.676917
5.30	-2.510404
5.35	-2.354833
5.40	-2.209485
5.45	-2.07369
5.50	-1.946799
5.55	-1.828209
5.60	-1.717337
5.65	-1.613654
5.70	-1.516648
5.75	-1.425849
5.80	-1.340806
5.85	-1.261126
5.90	-1.186422
5.95	-1.116352
6.00	-1.050593
6.20	-0.825048
6.40	-0.64849
6.60	-0.509517
6.80	-0.399682
7.00	-0.312542
7.20	-0.24315
7.40	-0.187672
7.60	-0.143135
7.80	-0.107223
8.00	-0.078163
8.20	-0.054556
8.40	-0.035323
8.60	-0.019595
8.80	-0.006714
9.00	0.003856
9.50	0.022781
10.00	0.034389
10.50	0.041395
11.00	0.045471
11.50	0.047639
12.00	0.048556
12.50	0.048656
13.00	0.048215
13.50	0.047431
14.00	0.04643
14.50	0.045288
15.00	0.044079
16.00	0.041595
17.00	0.039159
18.00	0.036858
19.00	0.034727
20.00	0.032755
21.00	0.030949
22.00	0.0293
23.00	0.027786
24.00	0.026392
25.00	0.025105
50.00	0.010238
100.00	0.003321
