R	E
1.00	185780.544657
1.10	135950.6443
1.20	98581.284576
1.30	70803.845491
1.40	50410.288106
1.50	35612.057414
1.60	24977.869495
1.70	17396.683565
1.80	12029.354813
1.90	8254.224605
2.00	5616.493325
2.05	4617.106231
2.10	3786.150794
2.15	3096.496678
2.20	2525.171893
2.25	2052.757954
2.30	1662.871021
2.35	1341.716374
2.40	1077.70484
2.45	861.122045
2.50	683.842954
2.55	539.085829
2.60	421.200819
2.65	325.488815
2.70	248.047178
2.75	185.638752
2.80	135.581212
2.85	95.653988
2.90	64.020167
2.95	39.161205
3.00	19.822341
3.05	4.967519
3.10	-6.258413
3.15	-14.560801
3.20	-20.520928
3.25	-24.617278
3.30	-27.243077
3.35	-28.720704
3.40	-29.313674
3.45	-29.236486
3.50	-28.662812
3.55	-27.732336
3.60	-26.556464
3.65	-25.223117
3.70	-23.80083
3.75	-22.342136
3.80	-20.886501
3.85	-19.462798
3.90	-18.091399
3.95	-16.785886
4.00	-15.554578
4.05	-14.401741
4.10	-13.328571
4.15	-12.334044
4.20	-11.415554
4.25	-10.569428
4.30	-9.791374
4.35	-9.076733
4.40	-8.42075
4.45	-7.818723
4.50	-7.266116
4.55	-6.758645
4.60	-6.292293
4.65	-5.863371
4.70	-5.468491
4.75	-5.104567
4.80	-4.768813
4.85	-4.458705
4.90	-4.171971
4.95	-3.906552
5.00	-3.660621
5.05	-3.432507
5.10	-3.220722
5.15	-3.023914
5.20	-2.840859
5.25	-2.67045
5.30	-2.511698
5.35	-2.363689
5.40	-2.225587
5.45	-2.09665
5.50	-1.976179
5.55	-1.863551
5.60	-1.758176
5.65	-1.659548
5.70	-1.567168
5.75	-1.480576
5.80	-1.399383
5.85	-1.323203
5.90	-1.25169
5.95	-1.184513
6.00	-1.121388
6.20	-0.904155
6.40	-0.73305
6.60	-0.597276
6.80	-0.488779
7.00	-0.40152
7.20	-0.330908
7.40	-0.273448
7.60	-0.226424
7.80	-0.187753
8.00	-0.155813
8.20	-0.12931
8.40	-0.107222
8.60	-0.088746
8.80	-0.073243
9.00	-0.060177
9.50	-0.035676
10.00	-0.019351
10.50	-0.008334
11.00	-0.000823
11.50	0.004322
12.00	0.007848
12.50	0.010252
13.00	0.011873
13.50	0.012946
14.00	0.013622
14.50	0.014012
15.00	0.0142
16.00	0.014179
17.00	0.013859
18.00	0.013379
19.00	0.012843
20.00	0.012288
21.00	0.011732
22.00	0.011192
23.00	0.010682
24.00	0.010207
25.00	0.009756
50.00	0.00412
100.00	0.001351
