R	Gamma	E
2.00	0	17970.861757
2.00	5	17719.417171
2.00	10	16995.443936
2.00	15	15882.967597
2.00	20	14499.481614
2.00	25	12972.156716
2.00	30	11417.611644
2.00	35	9928.225221
2.00	40	8567.414652
2.00	45	7370.552983
2.00	50	6349.895932
2.00	55	5500.629715
2.00	60	4807.298308
2.00	65	4249.04706
2.00	70	3803.790912
2.00	75	3451.131373
2.00	80	3174.629947
2.00	85	2963.23429
2.00	90	2812.618271
2.00	95	2726.925426
2.00	100	2720.838521
2.00	105	2822.864402
2.00	110	3080.026621
2.00	115	3565.258752
2.00	120	4388.366336
2.00	125	5708.986482
2.00	130	7747.26655
2.00	135	10788.494744
2.00	140	15181.752951
2.00	145	21317.600722
2.00	150	29553.077366
2.00	155	40172.77275
2.00	160	53911.55655
2.00	165	73975.251525
2.00	170	108974.155908
2.00	175	165101.660461
2.00	180	202022.397053
2.10	0	11875.923026
2.10	5	11712.048509
2.10	10	11239.416273
2.10	15	10510.420137
2.10	20	9599.563
2.10	25	8589.086314
2.10	30	7555.685349
2.10	35	6561.762387
2.10	40	5651.099125
2.10	45	4848.785197
2.10	50	4164.032564
2.10	55	3594.197219
2.10	60	3129.033188
2.10	65	2754.415987
2.10	70	2455.32054
2.10	75	2218.005553
2.10	80	2031.438189
2.10	85	1888.482135
2.10	90	1786.89381
2.10	95	1730.536328
2.10	100	1731.117035
2.10	105	1810.631574
2.10	110	2004.967137
2.10	115	2369.251999
2.10	120	2985.754175
2.10	125	3974.040598
2.10	130	5499.071733
2.10	135	7771.752914
2.10	140	11041.678969
2.10	145	15579.340332
2.10	150	21624.953012
2.10	155	29336.990926
2.10	160	39050.765915
2.10	165	52171.783419
2.10	170	71575.23226
2.10	175	96476.522077
2.10	180	110168.733483
2.20	0	7766.350364
2.20	5	7659.544839
2.20	10	7351.097377
2.20	15	6874.393628
2.20	20	6277.222832
2.20	25	5612.847612
2.20	30	4931.641609
2.20	35	4275.072578
2.20	40	3672.513442
2.20	45	3141.090482
2.20	50	2687.170414
2.20	55	2309.123725
2.20	60	2000.101852
2.20	65	1750.695202
2.20	70	1550.859941
2.20	75	1391.44061
2.20	80	1265.173435
2.20	85	1167.483631
2.20	90	1097.249369
2.20	95	1057.764281
2.20	100	1058.04885
2.20	105	1114.7909
2.20	110	1255.025614
2.20	115	1519.938061
2.20	120	1970.401244
2.20	125	2694.364268
2.20	130	3813.084565
2.20	135	5480.332381
2.20	140	7871.822951
2.20	145	11168.934672
2.20	150	15527.176793
2.20	155	21029.677525
2.20	160	27778.009603
2.20	165	36253.554156
2.20	170	47182.286859
2.20	175	59019.301624
2.20	180	64778.771432
2.30	0	5020.728703
2.30	5	4951.405667
2.30	10	4751.110189
2.30	15	4441.199569
2.30	20	4052.351245
2.30	25	3619.011207
2.30	30	3173.976242
2.30	35	2744.355693
2.30	40	2349.552462
2.30	45	2000.867788
2.30	50	1702.592712
2.30	55	1453.682033
2.30	60	1249.694507
2.30	65	1084.421683
2.30	70	951.26748
2.30	75	844.170526
2.30	80	758.319115
2.30	85	690.732293
2.30	90	640.831141
2.30	95	611.187143
2.30	100	608.557363
2.30	105	645.342556
2.30	110	741.602265
2.30	115	927.800273
2.30	120	1248.557319
2.30	125	1767.662303
2.30	130	2572.813898
2.30	135	3774.696561
2.30	140	5496.176993
2.30	145	7855.860277
2.30	150	10949.091277
2.30	155	14816.331404
2.30	160	19450.211724
2.30	165	24921.764332
2.30	170	31241.972842
2.30	175	37272.280305
2.30	180	39960.306282
2.40	0	3206.100879
2.40	5	3161.389947
2.40	10	3032.125773
2.40	15	2831.974212
2.40	20	2580.576896
2.40	25	2300.030451
2.40	30	2011.495298
2.40	35	1732.52103
