R	Gamma	E
2.00	0	-115.753404659587
2.00	5	-115.754550325584
2.00	10	-115.757848990827
2.00	15	-115.762917806715
2.00	20	-115.769221433573
2.00	25	-115.776180438842
2.00	30	-115.783263468365
2.00	35	-115.790049613199
2.00	40	-115.796249923254
2.00	45	-115.801703227051
2.00	50	-115.806353683416
2.00	55	-115.810223225573
2.00	60	-115.813382276357
2.00	65	-115.815925856562
2.00	70	-115.817954593134
2.00	75	-115.819561428456
2.00	80	-115.82082126183
2.00	85	-115.821784451451
2.00	90	-115.822470708626
2.00	95	-115.822861154013
2.00	100	-115.822888887995
2.00	105	-115.82242402381
2.00	110	-115.821252306361
2.00	115	-115.81904142578
2.00	120	-115.815291071142
2.00	125	-115.809273882154
2.00	130	-115.799986793499
2.00	135	-115.786129936288
2.00	140	-115.766112776181
2.00	145	-115.738155792683
2.00	150	-115.700632194764
2.00	155	-115.652245295393
2.00	160	-115.58964678149
2.00	165	-115.498229847707
2.00	170	-115.338763083067
2.00	175	-115.083027318865
2.00	180	-114.914804041129
2.10	0	-115.781175247764
2.10	5	-115.781921915106
2.10	10	-115.784075386336
2.10	15	-115.7873969376
2.10	20	-115.791547108681
2.10	25	-115.796151179882
2.10	30	-115.800859701805
2.10	35	-115.805388348681
2.10	40	-115.809537636399
2.10	45	-115.813193248154
2.10	50	-115.816313211164
2.10	55	-115.818909572404
2.10	60	-115.82102901598
2.10	65	-115.822735897782
2.10	70	-115.824098677107
2.10	75	-115.8251799639
2.10	80	-115.826030027483
2.10	85	-115.826681383281
2.10	90	-115.827144253815
2.10	95	-115.827401037432
2.10	100	-115.827398391537
2.10	105	-115.82703609659
2.10	110	-115.826150638485
2.10	115	-115.824490834292
2.10	120	-115.821681843292
2.10	125	-115.817178878376
2.10	130	-115.810230324262
2.10	135	-115.7998752254
2.10	140	-115.784976343913
2.10	145	-115.764301234524
2.10	150	-115.736755392407
2.10	155	-115.701616757167
2.10	160	-115.657357535421
2.10	165	-115.59757377227
2.10	170	-115.509165141655
2.10	175	-115.395706500806
2.10	180	-115.333320186369
2.20	0	-115.799899841232
2.20	5	-115.800386483081
2.20	10	-115.801791873324
2.20	15	-115.803963895735
2.20	20	-115.806684806472
2.20	25	-115.809711923142
2.20	30	-115.812815726512
2.20	35	-115.815807275557
2.20	40	-115.818552737387
2.20	45	-115.820974078898
2.20	50	-115.823042291203
2.20	55	-115.824764798904
2.20	60	-115.826172806357
2.20	65	-115.827309186834
2.20	70	-115.828219703409
2.20	75	-115.828946071428
2.20	80	-115.829521387092
2.20	85	-115.829966494652
2.20	90	-115.830286505545
2.20	95	-115.830466412868
2.20	100	-115.830465116275
2.20	105	-115.830206580436
2.20	110	-115.829567623973
2.20	115	-115.82836059388
2.20	120	-115.826308132305
2.20	125	-115.823009513586
2.20	130	-115.817912248131
2.20	135	-115.810315707043
2.20	140	-115.799419272696
2.20	145	-115.784396524183
2.20	150	-115.76453890913
2.20	155	-115.739467667482
2.20	160	-115.708719999743
2.20	165	-115.670102571791
2.20	170	-115.62030759459
2.20	175	-115.566374179218
2.20	180	-115.540132100144
2.30	0	-115.812409815784
2.30	5	-115.812725674824
2.30	10	-115.813638288302
2.30	15	-115.815050345185
2.30	20	-115.816822068764
2.30	25	-115.818796511539
2.30	30	-115.82082424033
2.30	35	-115.822781735863
2.30	40	-115.824580591998
2.30	45	-115.826169316496
2.30	50	-115.827528357935
2.30	55	-115.8286624786
2.30	60	-115.829591914286
2.30	65	-115.830344952788
2.30	70	-115.830951648067
2.30	75	-115.831439617764
2.30	80	-115.83183078563
2.30	85	-115.832138733891
2.30	90	-115.832366100304
2.30	95	-115.832501168314
2.30	100	-115.832513150477
2.30	105	-115.832345544781
2.30	110	-115.83190695321
2.30	115	-115.831058572545
2.30	120	-115.829597095698
2.30	125	-115.82723187902
2.30	130	-115.823563337899
2.30	135	-115.81808715677
2.30	140	-115.810243513669
2.30	145	-115.799492004003
2.30	150	-115.785398204536
2.30	155	-115.767777759497
2.30	160	-115.746664244219
2.30	165	-115.721734012621
2.30	170	-115.692937019667
2.30	175	-115.665460913261
2.30	180	-115.65321336399
2.40	0	-115.820677869694
