T	0->2	0->4	2->4	4->6	
1.000000000000000000e+00 2.278857752393915978e-18 1.389156925354169789e-35 2.647218995155586685e-34 6.064842516159119162e-60
2.000000000000000000e+00 7.948502213935942678e-15 4.017425899995650126e-24 7.564939847224461584e-23 5.890323697673108594e-36
3.000000000000000000e+00 1.218857982111898383e-13 2.510318002949571306e-20 4.638283379464913656e-19 5.315654293210352424e-28
4.000000000000000000e+00 4.822082416326278784e-13 1.930251880993791585e-18 3.507790328854663960e-17 4.863464725618067345e-24
5.000000000000000000e+00 1.102737835552966046e-12 2.553566250395804434e-17 4.578689463042222316e-16 1.135369099310551327e-21
6.000000000000000000e+00 1.909648625149845768e-12 1.399351973214349630e-16 2.482247298248527382e-15 4.247189037555264783e-20
7.000000000000000000e+00 2.815085609746792102e-12 4.633999128184242095e-16 8.147771356103292989e-15 5.583690637291530795e-19
8.000000000000000000e+00 3.748249203051074925e-12 1.120856685722940374e-15 1.956058983041135648e-14 3.817993025790907860e-18
9.000000000000000000e+00 4.660597694265975146e-12 2.200827996244683546e-15 3.815587428276446179e-14 1.687967462011522987e-17
1.000000000000000000e+01 5.522157586360056450e-12 3.737989135177757954e-15 6.441944455268122993e-14 5.498527791842758352e-17
1.100000000000000000e+01 6.316344710612444946e-12 5.718116634973137442e-15 9.799480961781812059e-14 1.434266550080572589e-16
1.200000000000000000e+01 7.035584404891826904e-12 8.092968515179763761e-15 1.379539595294264479e-13 3.167005992197543821e-16
1.300000000000000000e+01 7.678102829184560290e-12 1.079586827623857350e-14 1.830732097142245844e-13 6.152307597021704971e-16
1.400000000000000000e+01 8.245710804984444633e-12 1.375390064852827545e-14 2.320458071592833958e-13 1.080855853696177531e-15
1.500000000000000000e+01 8.742317106348616244e-12 1.689594391305012661e-14 2.836198459045612571e-13 1.752374495330170133e-15
1.600000000000000000e+01 9.172949784253624152e-12 2.015720800555659145e-14 3.366742716086195301e-13 2.662030164761211369e-15
1.700000000000000000e+01 9.543123372538741215e-12 2.348130204716175931e-14 3.902513980911501048e-13 3.833309596722589052e-15
1.800000000000000000e+01 9.858438978727653847e-12 2.682074388439552798e-14 4.435621774943228723e-13 5.280034651325532329e-15
1.900000000000000000e+01 1.012433996840866141e-11 3.013658427973481132e-14 4.959761707926188047e-13 7.006507625434073047e-15
2.000000000000000000e+01 1.034597073991977088e-11 3.339759093334621370e-14 5.470041330770472479e-13 9.008393260755651279e-15
2.100000000000000000e+01 1.052810303689893745e-11 3.657926449471037552e-14 5.962780571545649628e-13 1.127403393637232687e-14
2.200000000000000000e+01 1.067510579244549774e-11 3.966284090341900012e-14 6.435314166636553084e-13 1.378595094073269138e-14
2.300000000000000000e+01 1.079094236067236363e-11 4.263435975344233939e-14 6.885810082521451894e-13 1.652235305369322844e-14
2.400000000000000000e+01 1.087918434514985049e-11 4.548383373124746192e-14 7.313109837937831417e-13 1.945853688077899208e-14
2.500000000000000000e+01 1.094303487656370706e-11 4.820452895296692417e-14 7.716592039169880863e-13 2.256811430790718261e-14
2.600000000000000000e+01 1.098535666542783006e-11 5.079235274393246509e-14 8.096058017023552897e-13 2.582403971108752749e-14
2.700000000000000000e+01 1.100870182918109626e-11 5.324533915420605655e-14 8.451637326524460945e-13 2.919943462774864818e-14
2.800000000000000000e+01 1.101534161913752979e-11 5.556322021333347809e-14 8.783710482625811603e-13 3.266822297789380056e-14
2.900000000000000000e+01 1.100729492485022302e-11 5.774707074513009547e-14 9.092846315952909427e-13 3.620559819577955786e-14
3.000000000000000000e+01 1.098635493050926436e-11 5.979901541111849788e-14 9.379751539434210373e-13 3.978834702663836342e-14
3.100000000000000000e+01 1.095411362175021309e-11 6.172198792434653179e-14 9.645230403729753260e-13 4.339505500576345293e-14
3.200000000000000000e+01 1.091198404780484444e-11 6.351953374945445601e-14 9.890152623305079985e-13 4.700621704923859557e-14
3.300000000000000000e+01 1.086122037171565459e-11 6.519564891783103330e-14 1.011542804345965085e-12 5.060427403453705684e-14
3.400000000000000000e+01 1.080293581664940818e-11 6.675464876699865599e-14 1.032198677705527471e-12 5.417359331959244386e-14
3.500000000000000000e+01 1.073811865709956308e-11 6.820106143835651919e-14 1.051076376340459641e-12 5.770040820373083748e-14
3.600000000000000000e+01 1.066764642213009974e-11 6.953954183922095251e-14 1.068268689123907913e-12 6.117272858155010913e-14
3.700000000000000000e+01 1.059229848200196144e-11 7.077480250727842292e-14 1.083866798581304547e-12 6.458023258666677724e-14
3.800000000000000000e+01 1.051276718504539266e-11 7.191155842575213396e-14 1.097959609090124102e-12 6.791414690538242233e-14
3.900000000000000000e+01 1.042966770216221641e-11 7.295448334385323679e-14 1.110633258375094996e-12 7.116712165988503332e-14
4.000000000000000000e+01 1.034354672425767286e-11 7.390817557617311688e-14 1.121970774874302835e-12 7.433310429328333225e-14
4.100000000000000000e+01 1.025489014476007964e-11 7.477713160127545241e-14 1.132051850696251478e-12 7.740721570026192824e-14
4.200000000000000000e+01 1.016412984615725466e-11 7.556572606641724113e-14 1.140952705697155824e-12 8.038563089933523604e-14
4.300000000000000000e+01 1.007164969674460286e-11 7.627819704256379853e-14 1.148746022924997900e-12 8.326546579789423093e-14
4.400000000000000000e+01 9.977790851869901676e-12 7.691863557038479360e-14 1.155500939504446850e-12 8.604467102461838320e-14
4.500000000000000000e+01 9.882856443036246048e-12 7.749097870088564176e-14 1.161283080140978634e-12 8.872193336437891502e-14
4.600000000000000000e+01 9.787115728342141637e-12 7.799900536963896967e-14 1.166154622939557594e-12 9.129658500177964736e-14
4.700000000000000000e+01 9.690807768885855234e-12 7.844633455603984254e-14 1.170174389273801541e-12 9.376852053838772504e-14
