T	2->0	4->0	4->2	6->4	
1.000000000000000000e+00 3.044076492482619438e-12 8.655726341703724321e-14 5.825074753511841591e-12 1.461974365456282696e-12
2.000000000000000000e+00 4.110231482293621824e-12 1.058341635632943874e-13 7.105838187779715997e-12 1.932903808258358125e-12
3.000000000000000000e+00 4.592197771688918883e-12 1.068639698164838577e-13 7.100670592239249541e-12 1.890702285561039489e-12
4.000000000000000000e+00 4.903727233839646392e-12 1.044440836486052334e-13 6.874665527939751904e-12 1.790490679368353500e-12
5.000000000000000000e+00 5.110901684383492561e-12 1.006727145067642887e-13 6.576150798553758772e-12 1.695990750716665319e-12
6.000000000000000000e+00 5.241670553298861849e-12 9.624032759344821959e-14 6.248540030403576702e-12 1.613411711147334190e-12
7.000000000000000000e+00 5.315002312070480805e-12 9.156333453313928220e-14 5.915471959711381454e-12 1.540083511895132906e-12
8.000000000000000000e+00 5.345195553548287506e-12 8.690996366426964576e-14 5.591317311131252883e-12 1.473103828191641093e-12
9.000000000000000000e+00 5.342996985922950709e-12 8.243986691556181058e-14 5.284146303554866986e-12 1.410592924887833847e-12
1.000000000000000000e+01 5.316422241338380331e-12 7.823734663845866771e-14 4.997813627253866997e-12 1.351515913205100936e-12
1.100000000000000000e+01 5.271474853199568463e-12 7.433804738808339769e-14 4.733532396297112758e-12 1.295351192802364049e-12
1.200000000000000000e+01 5.212705115489018270e-12 7.074801809672425996e-14 4.490964971535000317e-12 1.241848113420690317e-12
1.300000000000000000e+01 5.143609643901606018e-12 6.745639454381423039e-14 4.268931774646982782e-12 1.190882728643003613e-12
1.400000000000000000e+01 5.066907657548260704e-12 6.444347368077256033e-14 4.065851754403757603e-12 1.142380567852773134e-12
1.500000000000000000e+01 4.984732203822361184e-12 6.168568104758054462e-14 3.880005843732600094e-12 1.096278918302634059e-12
1.600000000000000000e+01 4.898765321554387503e-12 5.915851951077687692e-14 3.709687816965515622e-12 1.052510622518931815e-12
1.700000000000000000e+01 4.810336430213695404e-12 5.683823762000921945e-14 3.553285300473630584e-12 1.010998855593417492e-12
1.800000000000000000e+01 4.720496087600478305e-12 5.470270225310740594e-14 3.409318431554321242e-12 9.716570774789256462e-13
1.900000000000000000e+01 4.630072662752160641e-12 5.273178765966341172e-14 3.276453511518612249e-12 9.343911078542574781e-13
2.000000000000000000e+01 4.539716689279662602e-12 5.090747910385459882e-14 3.153502438535469008e-12 8.991017984420687330e-13
2.100000000000000000e+01 4.449936016434511685e-12 4.921381534804212484e-14 3.039414531952403832e-12 8.656875963683994801e-13
2.200000000000000000e+01 4.361123892369674994e-12 4.763674671190199398e-14 2.933264731936278866e-12 8.340467161537664094e-13
2.300000000000000000e+01 4.273581510451929194e-12 4.616395519027333568e-14 2.834240518052942758e-12 8.040788477537712409e-13
2.400000000000000000e+01 4.187536161272228452e-12 4.478466401610390035e-14 2.741628876007514527e-12 7.756864244434596722e-13
2.500000000000000000e+01 4.103155869349585881e-12 4.348945212269387509e-14 2.654804021634586858e-12 7.487755123378169639e-13
2.600000000000000000e+01 4.020561204742070822e-12 4.227008160298610719e-14 2.573216218167335525e-12 7.232563925614607388e-13
2.700000000000000000e+01 3.939834818546044181e-12 4.111934181200197375e-14 2.496381803654313240e-12 6.990439031302371776e-13
2.800000000000000000e+01 3.861029142184153430e-12 4.003091113762117188e-14 2.423874421340237911e-12 6.760575984995852224e-13
2.900000000000000000e+01 3.784172604368685244e-12 3.899923598695771509e-14 2.355317379900945169e-12 6.542217744159249907e-13
3.000000000000000000e+01 3.709274650966157320e-12 3.801942576199241748e-14 2.290377039451718607e-12 6.334653959829312429e-13
3.100000000000000000e+01 3.636329797822506412e-12 3.708716225061736346e-14 2.228757108792736272e-12 6.137219584294126574e-13
3.200000000000000000e+01 3.565320902151483559e-12 3.619862176247720801e-14 2.170193740486340319e-12 5.949293031025675444e-13
3.300000000000000000e+01 3.496221802226970592e-12 3.535040838347322949e-14 2.114451317618831619e-12 5.770294056243848613e-13
3.400000000000000000e+01 3.428999446192045086e-12 3.453949684104823151e-14 2.061318836201718300e-12 5.599681487577306527e-13
3.500000000000000000e+01 3.363615607473021925e-12 3.376318362358052354e-14 2.010606798189213411e-12 5.436950891276548500e-13
3.600000000000000000e+01 3.300028265489487513e-12 3.301904515737208588e-14 1.962144540946247439e-12 5.281632243400641466e-13
3.700000000000000000e+01 3.238192715209085480e-12 3.230490200031949462e-14 1.915777939124619642e-12 5.133287650668390700e-13
3.800000000000000000e+01 3.178062456899760767e-12 3.161878815536810451e-14 1.871367424033861991e-12 4.991509151848050854e-13
3.900000000000000000e+01 3.119589907609026025e-12 3.095892473616049654e-14 1.828786273648152817e-12 4.855916619536007616e-13
4.000000000000000000e+01 3.062726967985498800e-12 3.032369733108140106e-14 1.787919133393669478e-12 4.726155774055922078e-13
4.100000000000000000e+01 3.007425471678442975e-12 2.971163651065559783e-14 1.748660733887100625e-12 4.601896315300325151e-13
4.200000000000000000e+01 2.953637539405023321e-12 2.912140100811944244e-14 1.710914776944606055e-12 4.482830174098437750e-13
4.300000000000000000e+01 2.901315855620355441e-12 2.855176317540652304e-14 1.674592965557093472e-12 4.368669881712133081e-13
4.400000000000000000e+01 2.850413882367872991e-12 2.800159637827845024e-14 1.639614157235044775e-12 4.259147054019426597e-13
4.500000000000000000e+01 2.800886022170878243e-12 2.746986404635740903e-14 1.605903623259380483e-12 4.154010985599480298e-13
4.600000000000000000e+01 2.752687739625623108e-12 2.695561013773048917e-14 1.573392399019233996e-12 4.053027348101575997e-13
4.700000000000000000e+01 2.705775649571300845e-12 2.645795081480017106e-14 1.542016712847578474e-12 3.955976986823599863e-13
4.800000000000000000e+01 2.660107578262663551e-12 2.597606715921247206e-14 1.511717482646113161e-12 3.862654809238837866e-13
4.900000000000000000e+01 2.615642602792028439e-12 2.550919877991588126e-14 1.482439871176772239e-12 3.772868759214549830e-13
5.000000000000000000e+01 2.572341073047292881e-12 2.505663819047387542e-14 1.454132892235647009e-12 3.686438870803353939e-13
