E (cm-1),0->2	,E (cm-1),0->4	,E (cm-1),2->4	,E (cm-1),4->6	
10.95,0.002821303,36.5,0.0007886721,36.5,0.01567928,77.0,0.131253
11.0,0.006314348,36.6,0.001761594,36.6,0.03447441,78.0,2.27899
11.05,0.01034485,36.7,0.002960245,36.7,0.05711017,79.0,0.737823
11.1,0.01503252,36.8,0.004301832,36.8,0.08201221,80.0,1.83861
11.15,0.02034969,36.9,0.005739557,36.9,0.108185,81.0,1.31111
11.2,0.02623672,37.0,0.007298312,37.0,0.135753,82.0,1.26504
11.25,0.03264067,37.1,0.009153019,37.1,0.166841,83.0,1.57247
11.3,0.03953825,37.2,0.01193493,37.2,0.20862,84.0,1.50532
11.35,0.04695784,37.3,0.01826075,37.3,0.286241,85.0,1.45843
11.4,0.05499392,37.4,0.03845202,37.4,0.497892,86.0,1.53736
11.45,0.06383703,37.5,0.0559854,37.5,0.981848,87.0,1.59815
11.5,0.07381684,37.6,0.109543,37.6,2.12687,88.0,1.60301
11.55,0.08546646,37.7,0.112244,37.7,2.4492,89.0,1.61495
11.6,0.09965415,37.8,0.114268,37.8,2.27808,90.0,1.65072
11.65,0.117797,37.9,0.120122,37.9,2.45029,91.0,1.68927
11.7,0.142291,38.0,0.08790213,38.0,1.83761,92.0,1.71742
11.75,0.177399,38.1,0.05924014,38.1,1.2162,93.0,1.74093
11.8,0.231189,38.2,0.04662866,38.2,0.934559,94.0,1.76743
11.85,0.320406,38.3,0.04072953,38.3,0.80028,95.0,1.79772
11.9,0.484293,38.4,0.03767075,38.4,0.728602,96.0,1.82861
11.95,0.831631,38.5,0.03603034,38.5,0.687905,97.0,1.85806
12.0,1.72963,38.6,0.03521979,38.6,0.664946,98.0,1.88645
12.05,4.16884,38.7,0.03498007,38.7,0.653698,99.0,1.91501
12.1,5.19894,38.8,0.03521034,38.8,0.651494,100.0,1.94436
12.15,5.18958,38.9,0.03590783,38.9,0.657591,,
12.2,7.66018,39.0,0.03715252,39.0,0.672689,,
12.25,6.75381,39.1,0.03911604,39.1,0.698917,,
12.3,3.97391,39.2,0.04208304,39.2,0.740086,,
12.35,2.53151,39.3,0.04645929,39.3,0.801934,,
12.4,1.8899,39.4,0.05268611,39.4,0.891617,,
12.45,1.57687,39.5,0.06089191,39.5,1.01463,,
12.5,1.32028,39.6,0.07026264,39.6,1.16764,,
12.55,1.09256,39.7,0.0789523,39.7,1.33197,,
12.6,0.928691,39.8,0.08534735,39.8,1.47826,,
12.65,0.8175,39.9,0.08897893,39.9,1.58098,,
12.7,0.740974,40.0,0.09006692,40.0,1.6301,,
12.75,0.687097,40.1,0.08909508,40.1,1.63048,,
12.8,0.648662,40.2,0.08659624,40.2,1.59322,,
12.85,0.621335,40.3,0.08308543,40.3,1.53078,,
12.9,0.602419,40.4,0.07910783,40.4,1.45578,,
12.95,0.5902,40.5,0.07516203,40.5,1.37909,,
13.0,0.583588,40.6,0.07158282,40.6,1.30802,,
