R,a1,a2,a3,E
3.5,90,0,90,-76.97811711
3.5,0,0,90,-76.97811711
3.5,60,0,90,-76.97811698
3.5,30,0,90,-76.97811573
3.6,90,0,90,-76.97811352
3.6,0,0,90,-76.97811352
3.6,60,0,90,-76.97811340000001
3.6,30,0,90,-76.97811214
3.7,30,90,180,-76.97810837
3.7,60,90,0,-76.97810837
3.7,0,90,180,-76.97810837
3.7,60,90,180,-76.97810837
3.7,0,90,0,-76.97810837
3.7,90,90,180,-76.97810837
3.7,30,90,0,-76.97810837
3.7,90,90,0,-76.97810837
3.6,0,90,0,-76.97810503
3.6,30,90,180,-76.97810503
3.6,0,90,180,-76.97810503
3.6,30,90,0,-76.97810503
3.6,60,90,0,-76.97810503
3.6,90,90,180,-76.97810503
3.6,90,90,0,-76.97810503
3.6,60,90,180,-76.97810503
3.4,90,0,90,-76.97809471
3.4,0,0,90,-76.97809471
3.4,60,0,90,-76.97809458
3.8,60,90,0,-76.97809419
3.8,60,90,180,-76.97809419
3.8,0,90,180,-76.97809419
3.8,90,90,180,-76.97809419
3.8,30,90,0,-76.97809419
3.8,0,90,0,-76.97809419
3.8,30,90,180,-76.97809419
3.8,90,90,0,-76.97809419
3.7,0,0,90,-76.97809344
3.7,90,0,90,-76.97809344
3.4,30,0,90,-76.97809333
3.7,60,0,90,-76.97809326
3.7,30,0,90,-76.97809201
3.5,60,90,180,-76.97807540000001
3.5,0,90,180,-76.97807540000001
3.5,90,90,0,-76.97807540000001
3.5,60,90,0,-76.97807540000001
3.5,90,90,180,-76.97807540000001
3.5,30,90,180,-76.97807540000001
3.5,30,90,0,-76.97807540000001
3.5,0,90,0,-76.97807540000001
3.9,30,90,180,-76.97806928
3.9,60,90,0,-76.97806928
3.9,0,90,180,-76.97806928
3.9,0,90,0,-76.97806928
3.9,90,90,180,-76.97806928
3.9,30,90,0,-76.97806928
3.9,90,90,0,-76.97806928
3.9,60,90,180,-76.97806928
3.6,0,30,60,-76.97806591
3.8,90,0,90,-76.9780654
3.8,0,0,90,-76.9780654
3.8,60,0,90,-76.978065
3.8,30,0,90,-76.97806402
3.7,0,30,60,-76.97805922
3.7,0,60,30,-76.97805821
3.6,30,30,60,-76.97805274
3.5,0,30,60,-76.97804985
3.8,0,60,30,-76.97804896
3.6,0,60,30,-76.97804774
3.7,30,30,60,-76.97804758
3.7,30,60,30,-76.97804609999999
3.8,0,30,60,-76.97804076
3.8,30,60,30,-76.97803838
4.0,60,90,0,-76.97803742
4.0,30,90,0,-76.97803742
4.0,90,90,180,-76.97803742
4.0,30,90,180,-76.97803742
4.0,0,90,180,-76.97803742
4.0,60,90,180,-76.97803742
4.0,0,90,0,-76.97803742
4.0,90,90,0,-76.97803742
3.5,30,30,60,-76.97803502
3.6,30,60,30,-76.97803365
3.3,0,0,90,-76.97803356
3.3,90,0,90,-76.97803356
3.3,60,0,90,-76.97803344
3.6,90,30,90,-76.97803298
3.3,30,0,90,-76.9780322
3.9,90,0,90,-76.97803211
3.9,0,0,90,-76.97803211
3.9,60,0,90,-76.97803199
3.9,30,0,90,-76.97803073
3.8,30,30,60,-76.97803063
3.9,0,60,30,-76.97802944
3.5,90,30,90,-76.97802866
3.6,60,30,90,-76.97802643
3.7,90,30,90,-76.9780212
3.5,60,30,90,-76.97802111
3.9,30,60,30,-76.97802022
3.5,0,60,30,-76.97801640000002
3.7,60,30,90,-76.97801513
3.9,0,30,60,-76.97801507
3.7,90,90,30,-76.97801346
3.7,90,90,150,-76.97801346
3.7,60,30,60,-76.97801245
3.6,30,30,90,-76.97801216
3.6,60,30,60,-76.97801144
3.4,90,90,180,-76.97800835
3.4,30,90,0,-76.97800835
3.4,30,90,180,-76.97800835
3.4,90,90,0,-76.97800835
3.4,60,90,180,-76.97800835
3.4,0,90,180,-76.97800835
3.4,0,90,0,-76.97800835
3.4,60,90,0,-76.97800835
3.6,0,30,90,-76.97800726
3.7,60,60,30,-76.97800662
3.9,30,30,60,-76.97800613
3.7,60,90,150,-76.97800593
3.7,60,90,30,-76.97800593
3.8,90,90,150,-76.97800478
