R,a1,a2,a3,E
3.500000000000,90,0,90,-76.978117110000
3.500000000000,0,0,90,-76.978117110000
3.500000000000,60,0,90,-76.978116980000
3.500000000000,30,0,90,-76.978115730000
3.600000000000,90,0,90,-76.978113520000
3.600000000000,0,0,90,-76.978113520000
3.600000000000,60,0,90,-76.978113400000
3.600000000000,30,0,90,-76.978112140000
3.700000000000,90,90,0,-76.978108370000
3.700000000000,30,90,0,-76.978108370000
3.700000000000,90,90,180,-76.978108370000
3.700000000000,0,90,0,-76.978108370000
3.700000000000,60,90,0,-76.978108370000
3.700000000000,0,90,180,-76.978108370000
3.700000000000,30,90,180,-76.978108370000
3.700000000000,60,90,180,-76.978108370000
3.600000000000,90,90,0,-76.978105030000
3.600000000000,60,90,180,-76.978105030000
3.600000000000,60,90,0,-76.978105030000
3.600000000000,90,90,180,-76.978105030000
3.600000000000,0,90,180,-76.978105030000
3.600000000000,30,90,180,-76.978105030000
3.600000000000,0,90,0,-76.978105030000
3.600000000000,30,90,0,-76.978105030000
3.400000000000,90,0,90,-76.978094710000
3.400000000000,0,0,90,-76.978094710000
3.400000000000,60,0,90,-76.978094580000
3.800000000000,90,90,0,-76.978094190000
3.800000000000,30,90,180,-76.978094190000
3.800000000000,0,90,0,-76.978094190000
3.800000000000,30,90,0,-76.978094190000
3.800000000000,0,90,180,-76.978094190000
3.800000000000,60,90,180,-76.978094190000
3.800000000000,60,90,0,-76.978094190000
3.800000000000,90,90,180,-76.978094190000
3.700000000000,0,0,90,-76.978093440000
3.700000000000,90,0,90,-76.978093440000
3.400000000000,30,0,90,-76.978093330000
3.700000000000,60,0,90,-76.978093260000
3.700000000000,30,0,90,-76.978092010000
3.500000000000,30,90,180,-76.978075400000
3.500000000000,0,90,0,-76.978075400000
3.500000000000,30,90,0,-76.978075400000
3.500000000000,90,90,180,-76.978075400000
3.500000000000,60,90,0,-76.978075400000
3.500000000000,90,90,0,-76.978075400000
3.500000000000,0,90,180,-76.978075400000
3.500000000000,60,90,180,-76.978075400000
3.900000000000,90,90,0,-76.978069280000
3.900000000000,30,90,0,-76.978069280000
3.900000000000,90,90,180,-76.978069280000
3.900000000000,60,90,180,-76.978069280000
3.900000000000,0,90,180,-76.978069280000
3.900000000000,60,90,0,-76.978069280000
3.900000000000,30,90,180,-76.978069280000
3.900000000000,0,90,0,-76.978069280000
3.600000000000,0,30,60,-76.978065910000
3.800000000000,90,0,90,-76.978065400000
3.800000000000,0,0,90,-76.978065400000
3.800000000000,60,0,90,-76.978065000000
3.800000000000,30,0,90,-76.978064020000
3.700000000000,0,30,60,-76.978059220000
3.700000000000,0,60,30,-76.978058210000
3.600000000000,30,30,60,-76.978052740000
3.500000000000,0,30,60,-76.978049850000
3.800000000000,0,60,30,-76.978048960000
3.600000000000,0,60,30,-76.978047740000
3.700000000000,30,30,60,-76.978047580000
3.700000000000,30,60,30,-76.978046100000
3.800000000000,0,30,60,-76.978040760000
3.800000000000,30,60,30,-76.978038380000
4.000000000000,90,90,0,-76.978037420000
4.000000000000,60,90,180,-76.978037420000
4.000000000000,0,90,180,-76.978037420000
4.000000000000,0,90,0,-76.978037420000
4.000000000000,90,90,180,-76.978037420000
4.000000000000,30,90,0,-76.978037420000
4.000000000000,60,90,0,-76.978037420000
4.000000000000,30,90,180,-76.978037420000
3.500000000000,30,30,60,-76.978035020000
3.600000000000,30,60,30,-76.978033650000
3.300000000000,0,0,90,-76.978033560000
3.300000000000,90,0,90,-76.978033560000
3.300000000000,60,0,90,-76.978033440000
3.600000000000,90,30,90,-76.978032980000
3.300000000000,30,0,90,-76.978032200000
3.900000000000,90,0,90,-76.978032110000
3.900000000000,0,0,90,-76.978032110000
3.900000000000,60,0,90,-76.978031990000
3.900000000000,30,0,90,-76.978030730000
3.800000000000,30,30,60,-76.978030630000
3.900000000000,0,60,30,-76.978029440000
3.500000000000,90,30,90,-76.978028660000
3.600000000000,60,30,90,-76.978026430000
3.700000000000,90,30,90,-76.978021200000
3.500000000000,60,30,90,-76.978021110000
